HouseID,Area,Locality,BHK,TotalSqFt,Floor,AgeOfProperty,Parking,NearMetro,SalePrice
255,Pal,Pal Gam,3,1170,3,14,Yes,No,7370999
256,Athwa,Athwa Lines,3,885,13,15,No,Yes,5774625
257,CityLight,City Light Road,1,1832,4,2,No,Yes,11376720
258,Vesu,Canal Road,2,631,15,5,No,No,3833325
259,Vesu,Vesu Main Road,2,917,5,9,Yes,No,5570775
260,CityLight,City Light Road,1,1088,3,14,No,No,6756479
261,CityLight,City Light Road,4,935,8,11,No,Yes,5806350
262,Varachha,Varachha Road,1,1205,5,14,No,Yes,5151375
263,Pal,Pal RTO,4,2539,5,14,Yes,Yes,15995699
264,Dindoli,Dindoli Area,4,2244,13,4,Yes,Yes,7573500
265,Dindoli,Dindoli Area,3,1761,5,1,No,No,5943375
266,Varachha,Varachha Road,2,652,15,11,Yes,Yes,2787300
267,Katargam,Katargam Road,2,2472,4,7,Yes,No,9455400
268,Athwa,Athwa Lines,2,1316,15,13,Yes,Yes,8586900
269,Athwa,Athwa Lines,1,988,11,2,No,No,6446700
270,Katargam,Katargam Road,2,2429,2,2,No,No,9290925
271,Udhna,Udhna Road,4,915,9,12,Yes,No,3294000
272,Vesu,Vesu Main Road,1,668,3,14,No,No,4058100
273,Athwa,Athwa Lines,3,2366,5,11,No,Yes,15438150
274,Athwa,Athwa Lines,1,2386,1,14,No,No,15568650
275,Varachha,Varachha Road,2,2032,8,9,No,No,8686800
276,Pal,Pal Gam,4,2597,1,8,Yes,No,16361099
277,Adajan,LP Savani Road,3,831,1,5,No,No,4113450
278,Dindoli,Dindoli Area,1,1389,2,2,Yes,No,4687875
279,Athwa,Athwa Lines,4,1512,4,13,No,No,9865800
280,Pal,Pal Gam,3,2033,9,11,Yes,Yes,12807900
281,Vesu,Vesu Main Road,3,2284,12,9,Yes,No,13875300
282,Pal,Pal RTO,4,2385,12,8,Yes,Yes,15025499
283,Pal,Pal RTO,1,2419,5,3,No,No,15239699
284,Adajan,LP Savani Road,4,1458,8,7,No,Yes,7217100
285,Katargam,Katargam Road,1,1229,10,1,Yes,Yes,4700925
286,Dindoli,Dindoli Area,2,2495,9,1,Yes,Yes,8420625
287,Katargam,Katargam Road,1,1951,2,13,Yes,Yes,7462575
288,Katargam,Katargam Road,2,1342,4,1,No,No,5133150
289,Dindoli,Dindoli Area,4,1073,13,15,Yes,No,3621375
290,CityLight,City Light Road,3,2327,15,15,No,No,14450669
291,Udhna,Udhna Road,1,670,15,15,Yes,Yes,2412000
292,Pal,Pal Gam,1,691,10,10,Yes,Yes,4353300
293,Athwa,Athwa Lines,3,614,4,3,No,Yes,4006350
294,Pal,Pal Gam,3,1060,3,0,Yes,Yes,6678000
295,Piplod,Piplod Area,2,1769,13,3,No,Yes,10348650
296,Dindoli,Dindoli Area,3,847,10,7,No,No,2858625
297,Vesu,Canal Road,4,1065,12,6,Yes,No,6469875
298,Vesu,Vesu Main Road,1,1739,9,10,Yes,No,10564425
299,Vesu,Canal Road,3,2543,5,12,Yes,Yes,15448725
300,Dindoli,Dindoli Area,1,1184,2,6,No,No,3996000
